set,meas,strip,sipm,artifact
6,1,8563,5,long_pretrigger
6,2,8576,4,long_pretrigger
6,2,8579,3,blurry_CC_separation
6,2,8590,1,long_pretrigger
7,1,5788,3,blurry_CC_separation
8,1,1538,1,long_pretrigger
8,1,1538,3,blurry_CC_separation
8,1,1541,1,sine_pickup
8,1,1541,2,sine_pickup
8,1,1541,3,sine_pickup
8,1,1541,4,sine_pickup
8,1,1541,5,sine_pickup
8,1,1541,6,sine_pickup
8,1,1542,2,long_pretrigger
8,1,1543,1,sine_pickup
8,1,1547,6,long_pretrigger
8,2,1562,1,sine_pickup
8,2,1562,2,sine_pickup
8,2,1562,3,sine_pickup
8,2,1562,4,sine_pickup
8,2,1562,5,sine_pickup
8,2,1562,6,sine_pickup
8,2,1563,1,sine_pickup
8,2,1563,2,sine_pickup
8,2,1563,3,sine_pickup
8,2,1563,4,sine_pickup
8,2,1563,5,sine_pickup
8,2,1563,6,sine_pickup
9,1,16509,3,blurry_CC_separation
9,1,16512,1,sine_pickup
9,1,16512,2,sine_pickup
9,1,16512,3,sine_pickup
9,1,16512,4,sine_pickup
9,1,16512,5,sine_pickup
9,1,16512,6,sine_pickup
9,1,16531,4,long_pretrigger
9,1,16535,2,sine_pickup
9,1,16535,3,sine_pickup
9,1,16535,4,sine_pickup
9,1,16535,6,sine_pickup
9,2,16402,3,blurry_CC_separation
9,2,16404,4,long_pretrigger
10,1,15991,3,blurry_CC_separation
10,1,15994,2,sine_pickup
10,2,16014,3,blurry_CC_separation
10,2,16020,2,long_pretrigger
11,1,15507,3,blurry_CC_separation
11,1,15511,4,long_pretrigger
11,2,15518,1,very_noisy_ok
11,2,15520,6,very_noisy_ok
11,2,15521,1,very_noisy_ok
11,2,15521,6,very_noisy_ok
11,2,15523,2,sine_pickup
11,2,15523,3,very_noisy_ok
11,2,15523,4,sine_pickup
11,2,15523,5,sine_pickup
11,2,15523,6,sine_pickup
11,2,15524,1,very_noisy_ok
11,2,15524,2,very_noisy_ok
11,2,15524,3,very_noisy_ok
11,2,15524,4,very_noisy_ok
11,2,15524,5,very_noisy_ok
11,2,15524,6,very_noisy_ok
11,2,15603,1,very_noisy_ok
11,2,15603,2,very_noisy_ok
11,2,15603,3,very_noisy_ok
11,2,15603,4,very_noisy_ok
11,2,15603,5,very_noisy_ok
11,2,15603,6,very_noisy_ok
12,1,5120,3,blurry_CC_separation
12,1,5120,5,long_pretrigger
12,1,5120,6,very_noisy_not_ok
12,1,5136,1,blurry_CC_separation
12,1,5136,2,long_pretrigger
12,1,5149,6,very_noisy_ok
12,1,5158,1,very_noisy_not_ok
12,1,5170,1,sine_pickup
12,1,5170,2,sine_pickup
12,1,5170,3,sine_pickup
12,1,5170,4,sine_pickup
12,1,5170,5,sine_pickup
12,1,5170,6,sine_pickup
12,1,5173,2,very_noisy_ok
12,1,5173,6,very_noisy_ok
12,1,5177,1,very_noisy_ok
12,2,5184,1,very_noisy_ok
12,2,6133,1,sine_pickup
12,2,6133,2,sine_pickup
12,2,6133,3,sine_pickup
12,2,6133,4,sine_pickup
12,2,6133,5,sine_pickup
12,2,6133,6,sine_pickup
12,2,6139,4,sine_pickup
12,2,6139,6,sine_pickup
12,2,6144,1,sine_pickup
12,2,6144,2,sine_pickup
12,2,6144,3,sine_pickup
12,2,6144,4,sine_pickup
12,2,6144,5,sine_pickup
12,2,6144,6,sine_pickup
14,1,21071,5,long_pretrigger
14,1,21073,3,blurry_CC_separation
14,1,21093,1,sine_pickup
14,1,21093,2,sine_pickup
14,1,21093,3,sine_pickup
14,1,21093,4,sine_pickup
14,1,21093,5,sine_pickup
14,1,21093,6,sine_pickup
14,1,21098,1,sine_pickup
14,1,21098,2,sine_pickup
14,1,21098,3,sine_pickup
14,1,21098,4,sine_pickup
14,1,21098,5,sine_pickup
14,1,21098,6,sine_pickup
14,2,21129,3,blurry_CC_separation
14,2,21160,3,long_pretrigger
